№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
1;Фінансова компанія;40858239;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ПРОСТІ ЗАЙМИ»;69037 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, ВУЛИЦЯ НЕЗАЛЕЖНОЇ УКРАЇНИ, буд.39-А, корп.-, оф.(кв.)25;ГОРДИК ЛАРИСА ІВАНІВНА;27.07.2017
2;Фінансова компанія;41336992;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «АВЕСТА»;01001 КИЇВ, КИЇВ 1, МИХАЙЛА ГРУШЕВСЬКОГО, буд.10;ВОСКОЛОВИЧ АНДРІЙ ВАЛЕРІЙОВИЧ;20.07.2017
3;Фінансова компанія;41337289;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «АГАРТІ»;04053 КИЇВ, КИЇВ 53, СІЧОВИХ СТРІЛЬЦІВ, буд.77;ГОЙХМАН ОЛЕКСАНДР ОЛЕКСАНДРОВИЧ;18.07.2017
4;Фінансова компанія;41336898;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АЛЛАТ""";03083 КИЇВ, КИЇВ 83, ПРОСПЕКТ НАУКИ, буд.50;КОНТУШ ЯРОСЛАВ ВІКТОРОВИЧ;18.07.2017
5;Фінансова компанія;41334430;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «МК - ФІНАНС»;01033 КИЇВ, КИЇВ 33,  Микільська - Ботанічна, буд.6/8, оф.(кв.)приміщення 41;ВОСКОЛОВИЧ АНДРІЙ ВАЛЕРІЙОВИЧ;11.07.2017
6;Фінансова компанія;41229318;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ГЕЛЕКСІ»;03083 КИЇВ, КИЇВ 83, ПРОСПЕКТ НАУКИ, буд.50;КОНТУШ ЯРОСЛАВ ВІКТОРОВИЧ;11.07.2017
7;Фінансова компанія;40885016;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЕШЬЮ""";03039 КИЇВ, КИЇВ 39, провулок Руслана Лужевського, буд.14, корп.7, оф.(кв.)офіс 32;Ткаченко Андрій Вікторович;06.07.2017
8;Ломбард;41334618;"Повне товариство ""Новий ломбард"" ТОВ ""@верс"" і компанія""";85307 ДОНЕЦЬКА ОБЛАСТЬ, КРАСНОАРМІЙСЬКИЙ РАЙОН КРАСНОАРМІЙСЬК, МІКРОРАЙОН ЮЖНИЙ, буд.7, оф.(кв.)квартира 31-32;Починок Ольга Леонідівна;22.06.2017
9;Фінансова компанія;41298879;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""МУРРЕЙ""";04060 КИЇВ, КИЇВ 60, Максима Берлінського , буд.20, корп.-, оф.(кв.) 4;Тимощук  Олександр Вікторович;15.06.2017
10;Фінансова компанія;41297372;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІДЕМ""";03039 КИЇВ, КИЇВ 39, провулок Руслана Лужевського, буд.14, корп.5, оф.(кв.)5;Антипенко Дмитро Олександрович;13.06.2017
11;Фінансова компанія;41297000;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АЛЬТЕНА""";01042 КИЇВ, КИЇВ 42, Чигоріна, буд.49, корп.приміщення 82, оф.(кв.)5;Скуратовський Андрій Леонідович;13.06.2017
12;Фінансова компанія;41229370;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ЕКОФІНАНС»;04053 КИЇВ, КИЇВ 53, СІЧОВИХ СТРІЛЬЦІВ, буд.77;РАСТОРГУЄВ ОЛЕКСАНДР ВАЛЕРІЙОВИЧ;13.06.2017
